time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives,efficiency
00:00 ~ 00:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
01:00 ~ 01:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
02:00 ~ 02:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
03:00 ~ 03:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
04:00 ~ 04:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
05:00 ~ 05:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
06:00 ~ 06:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
07:00 ~ 07:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
08:00 ~ 08:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
09:00 ~ 09:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
10:00 ~ 10:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
11:00 ~ 11:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
12:00 ~ 12:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
13:00 ~ 13:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
14:00 ~ 14:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
15:00 ~ 15:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
16:00 ~ 16:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
17:00 ~ 17:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
18:00 ~ 18:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
19:00 ~ 19:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
20:00 ~ 20:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
21:00 ~ 21:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
22:00 ~ 22:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
23:00 ~ 23:59,0,19,19,19 -> 19,Depot_Incheon_Airport -> Depot_Incheon_Airport,0,0,57000,0
